Name,BirthYear,EyeColor,Gender,HairColor,Height,Mass,SkinColor,Homeworld,Url,Created,Edited,Films,Starships,Vehicles,Species
Luke Skywalker,19BBY,blue,male,blond,172,77,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/1/,12/09/2014 13:50:51,12/20/2014 21:17:56,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/12/; https://swapi.dev/api/starships/22/,https://swapi.dev/api/vehicles/14/; https://swapi.dev/api/vehicles/30/,
C-3PO,112BBY,yellow,n/a,n/a,167,75,gold,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/2/,12/10/2014 15:10:51,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/2/
R2-D2,33BBY,red,n/a,n/a,96,32,"white, blue",https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/3/,12/10/2014 15:11:50,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/2/
Darth Vader,41.9BBY,yellow,male,none,202,136,white,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/4/,12/10/2014 15:18:20,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/13/,,
Leia Organa,19BBY,brown,female,brown,150,49,light,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/5/,12/10/2014 15:20:09,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,,https://swapi.dev/api/vehicles/30/,
Owen Lars,52BBY,blue,male,"brown, grey",178,120,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/6/,12/10/2014 15:52:14,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
Beru Whitesun lars,47BBY,blue,female,brown,165,75,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/7/,12/10/2014 15:53:41,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
R5-D4,unknown,red,n/a,n/a,97,32,"white, red",https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/8/,12/10/2014 15:57:50,12/20/2014 21:17:50,https://swapi.dev/api/films/1/,,,https://swapi.dev/api/species/2/
Biggs Darklighter,24BBY,brown,male,black,183,84,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/9/,12/10/2014 15:59:50,12/20/2014 21:17:50,https://swapi.dev/api/films/1/,https://swapi.dev/api/starships/12/,,
Obi-Wan Kenobi,57BBY,blue-gray,male,"auburn, white",182,77,fair,https://swapi.dev/api/planets/20/,https://swapi.dev/api/people/10/,12/10/2014 16:16:29,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/48/; https://swapi.dev/api/starships/59/; https://swapi.dev/api/starships/64/; https://swapi.dev/api/starships/65/; https://swapi.dev/api/starships/74/,https://swapi.dev/api/vehicles/38/,
Anakin Skywalker,41.9BBY,blue,male,blond,188,84,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/11/,12/10/2014 16:20:44,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/39/; https://swapi.dev/api/starships/59/; https://swapi.dev/api/starships/65/,https://swapi.dev/api/vehicles/44/; https://swapi.dev/api/vehicles/46/,
Wilhuff Tarkin,64BBY,blue,male,"auburn, grey",180,unknown,fair,https://swapi.dev/api/planets/21/,https://swapi.dev/api/people/12/,12/10/2014 16:26:56,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/6/,,,
Chewbacca,200BBY,blue,male,brown,228,112,unknown,https://swapi.dev/api/planets/14/,https://swapi.dev/api/people/13/,12/10/2014 16:42:45,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/10/; https://swapi.dev/api/starships/22/,https://swapi.dev/api/vehicles/19/,https://swapi.dev/api/species/3/
Han Solo,29BBY,brown,male,brown,180,80,fair,https://swapi.dev/api/planets/22/,https://swapi.dev/api/people/14/,12/10/2014 16:49:14,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/starships/10/; https://swapi.dev/api/starships/22/,,
Greedo,44BBY,black,male,n/a,173,74,green,https://swapi.dev/api/planets/23/,https://swapi.dev/api/people/15/,12/10/2014 17:03:30,12/20/2014 21:17:50,https://swapi.dev/api/films/1/,,,https://swapi.dev/api/species/4/
Jabba Desilijic Tiure,600BBY,orange,hermaphrodite,n/a,175,"1,358","green-tan, brown",https://swapi.dev/api/planets/24/,https://swapi.dev/api/people/16/,12/10/2014 17:11:31,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/5/
