name,classification,designation,average_height,skin_colors,hair_colors,eye_colors,average_lifespan,homeworld,language,created,edited,url,Films,People
Human,mammal,sentient,180,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,https://swapi.dev/api/planets/9/,Galactic Basic,12/10/2014 13:52:11,12/20/2014 21:36:42,https://swapi.dev/api/species/1/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/66/; https://swapi.dev/api/people/67/; https://swapi.dev/api/people/68/; https://swapi.dev/api/people/74/
Droid,artificial,sentient,n/a,n/a,n/a,n/a,indefinite,,n/a,12/10/2014 15:16:16,12/20/2014 21:36:42,https://swapi.dev/api/species/2/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/2/; https://swapi.dev/api/people/3/; https://swapi.dev/api/people/8/; https://swapi.dev/api/people/23/
Wookie,mammal,sentient,210,gray,"black, brown","blue, green, yellow, brown, golden, red",400,https://swapi.dev/api/planets/14/,Shyriiwook,12/10/2014 16:44:31,12/20/2014 21:36:42,https://swapi.dev/api/species/3/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/13/; https://swapi.dev/api/people/80/
Rodian,sentient,reptilian,170,"green, blue",n/a,black,unknown,https://swapi.dev/api/planets/23/,Galatic Basic,12/10/2014 17:05:26,12/20/2014 21:36:42,https://swapi.dev/api/species/4/,https://swapi.dev/api/films/1/,https://swapi.dev/api/people/15/
Hutt,gastropod,sentient,300,"green, brown, tan",n/a,"yellow, red",1000,https://swapi.dev/api/planets/24/,Huttese,12/10/2014 17:12:50,12/20/2014 21:36:42,https://swapi.dev/api/species/5/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/3/,https://swapi.dev/api/people/16/
Yoda's species,mammal,sentient,66,"green, yellow","brown, white","brown, green, yellow",900,https://swapi.dev/api/planets/28/,Galactic basic,12/15/2014 12:27:22,12/20/2014 21:36:42,https://swapi.dev/api/species/6/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/20/
Trandoshan,reptile,sentient,200,"brown, green",none,"yellow, orange",unknown,https://swapi.dev/api/planets/29/,Dosh,12/15/2014 13:07:47,12/20/2014 21:36:42,https://swapi.dev/api/species/7/,https://swapi.dev/api/films/2/,https://swapi.dev/api/people/24/
Mon Calamari,amphibian,sentient,160,"red, blue, brown, magenta",none,yellow,unknown,https://swapi.dev/api/planets/31/,Mon Calamarian,12/18/2014 11:09:52,12/20/2014 21:36:42,https://swapi.dev/api/species/8/,https://swapi.dev/api/films/3/,https://swapi.dev/api/people/27/
Ewok,mammal,sentient,100,brown,"white, brown, black","orange, brown",unknown,https://swapi.dev/api/planets/7/,Ewokese,12/18/2014 11:22:00,12/20/2014 21:36:42,https://swapi.dev/api/species/9/,https://swapi.dev/api/films/3/,https://swapi.dev/api/people/30/
Sullustan,mammal,sentient,180,pale,none,black,unknown,https://swapi.dev/api/planets/33/,Sullutese,12/18/2014 11:26:20,12/20/2014 21:36:42,https://swapi.dev/api/species/10/,https://swapi.dev/api/films/3/,https://swapi.dev/api/people/31/
Neimodian,unknown,sentient,180,"grey, green",none,"red, pink",unknown,https://swapi.dev/api/planets/18/,Neimoidia,12/19/2014 17:07:31,12/20/2014 21:36:42,https://swapi.dev/api/species/11/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/33/
Gungan,amphibian,sentient,190,"brown, green",none,orange,unknown,https://swapi.dev/api/planets/8/,Gungan basic,12/19/2014 17:30:37,12/20/2014 21:36:42,https://swapi.dev/api/species/12/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,https://swapi.dev/api/people/36/; https://swapi.dev/api/people/37/; https://swapi.dev/api/people/38/
Toydarian,mammal,sentient,120,"blue, green, grey",none,yellow,91,https://swapi.dev/api/planets/34/,Toydarian,12/19/2014 17:48:56,12/20/2014 21:36:42,https://swapi.dev/api/species/13/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,https://swapi.dev/api/people/40/
Dug,mammal,sentient,100,"brown, purple, grey, red",none,"yellow, blue",unknown,https://swapi.dev/api/planets/35/,Dugese,12/19/2014 17:53:11,12/20/2014 21:36:42,https://swapi.dev/api/species/14/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/41/
Twi'lek,mammals,sentient,200,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",unknown,https://swapi.dev/api/planets/37/,Twi'leki,12/20/2014 09:48:02,12/20/2014 21:36:42,https://swapi.dev/api/species/15/,https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/45/; https://swapi.dev/api/people/46/
Aleena,reptile,sentient,80,"blue, gray",none,unknown,79,https://swapi.dev/api/planets/38/,Aleena,12/20/2014 09:53:16,12/20/2014 21:36:42,https://swapi.dev/api/species/16/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/47/
Vulptereen,unknown,sentient,100,grey,none,yellow,unknown,https://swapi.dev/api/planets/39/,vulpterish,12/20/2014 09:57:33,12/20/2014 21:36:42,https://swapi.dev/api/species/17/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/48/
Xexto,unknown,sentient,125,"grey, yellow, purple",none,black,unknown,https://swapi.dev/api/planets/40/,Xextese,12/20/2014 10:02:13,12/20/2014 21:36:42,https://swapi.dev/api/species/18/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/49/
Toong,unknown,sentient,200,"grey, green, yellow",none,orange,unknown,https://swapi.dev/api/planets/41/,Tundan,12/20/2014 10:08:36,12/20/2014 21:36:42,https://swapi.dev/api/species/19/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/50/
Cerean,mammal,sentient,200,pale pink,"red, blond, black, white",hazel,unknown,https://swapi.dev/api/planets/43/,Cerean,12/20/2014 10:15:33,12/20/2014 21:36:42,https://swapi.dev/api/species/20/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/52/
Nautolan,amphibian,sentient,180,"green, blue, brown, red",none,black,70,https://swapi.dev/api/planets/44/,Nautila,12/20/2014 10:18:58,12/20/2014 21:36:42,https://swapi.dev/api/species/21/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/53/
Zabrak,mammal,sentient,180,"pale, brown, red, orange, yellow",black,"brown, orange",unknown,https://swapi.dev/api/planets/45/,Zabraki,12/20/2014 10:26:59,12/20/2014 21:36:42,https://swapi.dev/api/species/22/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/44/; https://swapi.dev/api/people/54/
Tholothian,mammal,sentient,unknown,dark,unknown,"blue, indigo",unknown,https://swapi.dev/api/planets/46/,unknown,12/20/2014 10:29:13,12/20/2014 21:36:42,https://swapi.dev/api/species/23/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/55/
Iktotchi,unknown,sentient,180,pink,none,orange,unknown,https://swapi.dev/api/planets/47/,Iktotchese,12/20/2014 10:32:13,12/20/2014 21:36:42,https://swapi.dev/api/species/24/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/56/
Quermian,mammal,sentient,240,white,none,yellow,86,https://swapi.dev/api/planets/48/,Quermian,12/20/2014 10:34:50,12/20/2014 21:36:42,https://swapi.dev/api/species/25/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/57/
Kel Dor,unknown,sentient,180,"peach, orange, red",none,"black, silver",70,https://swapi.dev/api/planets/49/,Kel Dor,12/20/2014 10:49:21,12/20/2014 21:36:42,https://swapi.dev/api/species/26/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/58/
Chagrian,amphibian,sentient,190,blue,none,blue,unknown,https://swapi.dev/api/planets/50/,Chagria,12/20/2014 10:53:28,12/20/2014 21:36:42,https://swapi.dev/api/species/27/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/59/
Geonosian,insectoid,sentient,178,"green, brown",none,"green, hazel",unknown,https://swapi.dev/api/planets/11/,Geonosian,12/20/2014 16:40:45,12/20/2014 21:36:42,https://swapi.dev/api/species/28/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/63/
Mirialan,mammal,sentient,180,"yellow, green","black, brown","blue, green, red, yellow, brown, orange",unknown,https://swapi.dev/api/planets/51/,Mirialan,12/20/2014 16:46:48,12/20/2014 21:36:42,https://swapi.dev/api/species/29/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/64/; https://swapi.dev/api/people/65/
Clawdite,reptilian,sentient,180,"green, yellow",none,yellow,70,https://swapi.dev/api/planets/54/,Clawdite,12/20/2014 16:57:46,12/20/2014 21:36:42,https://swapi.dev/api/species/30/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/70/
Besalisk,amphibian,sentient,178,brown,none,yellow,75,https://swapi.dev/api/planets/55/,besalisk,12/20/2014 17:28:28,12/20/2014 21:36:42,https://swapi.dev/api/species/31/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/71/
Kaminoan,amphibian,sentient,220,"grey, blue",none,black,80,https://swapi.dev/api/planets/10/,Kaminoan,12/20/2014 17:31:24,12/20/2014 21:36:42,https://swapi.dev/api/species/32/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/72/; https://swapi.dev/api/people/73/
Skakoan,mammal,sentient,unknown,"grey, green",none,unknown,unknown,https://swapi.dev/api/planets/56/,Skakoan,12/20/2014 17:53:54,12/20/2014 21:36:42,https://swapi.dev/api/species/33/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/76/
Muun,mammal,sentient,190,"grey, white",none,black,100,https://swapi.dev/api/planets/57/,Muun,12/20/2014 17:58:19,12/20/2014 21:36:42,https://swapi.dev/api/species/34/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/77/
Togruta,mammal,sentient,180,"red, white, orange, yellow, green, blue",none,"red, orange, yellow, green, blue, black",94,https://swapi.dev/api/planets/58/,Togruti,12/20/2014 18:44:03,12/20/2014 21:36:42,https://swapi.dev/api/species/35/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/78/
Kaleesh,reptile,sentient,170,"brown, orange, tan",none,yellow,80,https://swapi.dev/api/planets/59/,Kaleesh,12/20/2014 19:45:42,12/20/2014 21:36:42,https://swapi.dev/api/species/36/,https://swapi.dev/api/films/6/,https://swapi.dev/api/people/79/
Pau'an,mammal,sentient,190,grey,none,black,700,https://swapi.dev/api/planets/12/,Utapese,12/20/2014 20:35:06,12/20/2014 21:36:42,https://swapi.dev/api/species/37/,https://swapi.dev/api/films/6/,https://swapi.dev/api/people/83/
