name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,created,edited,url,Films,Pilots
Sand Crawler,Digger Crawler,Corellia Mining Corporation,150000,"36.8 ",30,46,30,50000,2 months,wheeled,12/10/2014 15:36:25,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/4/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/5/,
T-16 skyhopper,T-16 skyhopper,Incom Corporation,14500,"10.4 ",1200,1,1,50,0,repulsorcraft,12/10/2014 16:01:52,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/6/,https://swapi.dev/api/films/1/,
X-34 landspeeder,X-34 landspeeder,SoroSuub Corporation,10550,"3.4 ",250,1,1,5,unknown,repulsorcraft,12/10/2014 16:13:52,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/7/,https://swapi.dev/api/films/1/,
TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,unknown,6.4,1200,1,0,65,2 days,starfighter,12/10/2014 16:33:52,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/8/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
Snowspeeder,t-47 airspeeder,Incom corporation,unknown,4.5,650,2,0,10,none,airspeeder,12/15/2014 12:22:12,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/14/,https://swapi.dev/api/films/2/,https://swapi.dev/api/people/1/; https://swapi.dev/api/people/18/
TIE bomber,TIE/sa bomber,Sienar Fleet Systems,unknown,7.8,850,1,0,none,2 days,space/planetary bomber,12/15/2014 12:33:15,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/16/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,20,60,5,40,1000,unknown,assault walker,12/15/2014 12:38:25,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/18/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,2,90,2,0,200,none,walker,12/15/2014 12:46:42,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/19/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/people/13/
Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,Bespin Motors,75000,7,1500,2,0,10,1 day,repulsorcraft,12/15/2014 12:58:50,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/20/,https://swapi.dev/api/films/2/,
Sail barge,Modified Luxury Sail Barge,Ubrikkian Industries Custom Vehicle Division,285000,30,100,26,500,2000000,Live food tanks,sail barge,12/18/2014 10:44:14,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/24/,https://swapi.dev/api/films/3/,
